,Title,Authors/Co-Authors
1,`β-Actin–dependent global chromatin organization and gene expression programs control cellular identity <https://www.fasebj.org/doi/abs/10.1096/fj.201700753R>`_,Nizar Drou
2,`Genome‐wide scans of selection highlight the impact of biotic and abiotic constraints in natural populations of the model grass Brachypodium distachyon <https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.14042>`_,Yann Bourgeois
3,`β-actin regulates a heterochromatin landscape essential for optimal induction of neuronal programs during direct reprograming <https://journals.plos.org/plosgenetics/article?rev=2&id=10.1371/journal.pgen.1007846>`_,Piergiorgio Percipalle
4,`Multiple and independent phases of transposable element amplification in the genomes of Piciformes (woodpeckers and allies) <https://academic.oup.com/gbe/article-abstract/10/6/1445/5020728>`_,Stephane Boissinot
5,`Sorting mRNA molecules for cytoplasmic transport and localization <https://www.frontiersin.org/articles/10.3389/fgene.2018.00510/full>`_,Piergiorgio Percipalle
6,`Evolutionary epigenomics of retrotransposon-mediated methylation spreading in rice <https://academic.oup.com/mbe/article-abstract/35/2/365/4596560>`_,Michael D Purugganan
7,"`Recent secondary contacts, background selection and variable recombination rates shape genomic diversity in the model species Anolis carolinensis <https://www.biorxiv.org/content/10.1101/352922v1.abstract>`_",Stephane Boissinot
8,`Genome-wide scans of selection highlight the impact of biotic and abiotic constraints in natural populations of the model grass Brachypodium distachyon <https://www.researchgate.net/profile/Anne_Roulin/publication/326609939_Genome-wide_scans_of_selection_highlight_the_impact_of_biotic_and_abiotic_constraints_in_natural_populations_of_the_model_grass_Brachypodium_distachyon/links/5ba1e6ff45851574f7d58ee9/Genome-wide-scans-of-selection-highlight-the-impact-of-biotic-and-abiotic-constraints-in-natural-populations-of-the-model-grass-Brachypodium-distachyon.pdf>`_,Yann Bourgeois
9,`Reversible Multicolor Photochromism of Dihydroazulene Crystals <https://onlinelibrary.wiley.com/doi/abs/10.1002/chem.201804677>`_,Stefan Schramm
10,`Conformations of peptoids in nanosheets result from the interplay of backbone energetics and intermolecular interactions <https://www.pnas.org/content/115/22/5647.short>`_,Glenn L. Butterfoss
11,`Turning on Solid‐State Fluorescence with Light <https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201803424>`_,Stefan Schramm
12,`The relative composition of actin isoforms regulates cell surface biophysical features and cellular behaviors <https://www.sciencedirect.com/science/article/pii/S0304416518300357>`_,Piergiorgio Percipalle
13,`An actin-based nucleoskeleton involved in gene regulation and genome organization <https://www.sciencedirect.com/science/article/abs/pii/S0006291X17323835>`_,Piergiorgio Percipalle
