,"Title", "Authors/Co-Authors"
"1","`Indel-informed Bayesian analysis suggests cryptic population structure between Plasmodium knowlesi of humans and long-tailed macaques (Macaca fascicularis) in Malaysian Borneo <https://www.researchgate.net/profile/Hope_Hollocher/publication/335180628_Indel-informed_Bayesian_analysis_suggests_cryptic_population_structure_between_Plasmodium_knowlesi_of_humans_and_long-tailed_macaques_Macaca_fascicularis_in_Malaysian_Borneo/links/5d78ed2992851cacdb31b7c9/Indel-informed-Bayesian-analysis-suggests-cryptic-population-structure-between-Plasmodium-knowlesi-of-humans-and-long-tailed-macaques-Macaca-fascicularis-in-Malaysian-Borneo.pdf>`_","Justin J S Wilcox"
"2","`Recent Secondary Contacts, Linked Selection, and Variable Recombination Rates Shape Genomic Diversity in the Model Species Anolis carolinensis <https://academic.oup.com/gbe/article-abstract/11/7/2009/5499074>`_","Stéphane Boissinot"
"3","`Selection at behavioural, developmental and metabolic genes is associated with the northward expansion of a successful tropical colonizer <https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15162>`_","Stéphane Boissinot"
"4","`Mitochondria-localized β-actin is essential for priming innate antiviral immune signaling by regulating IRF3 protein stability <https://www.nature.com/articles/s41423-019-0269-2>`_","Piergiorgio Percipalle"
"5","`Incense Burning is Associated with Human Oral Microbiota Composition <https://www.nature.com/articles/s41598-019-46353-y>`_","Raghib Ali"
"6","`Analysis of global transcriptome changes in mouse embryonic fibroblasts after dsDNA and dsRNA viral mimic stimulation <https://www.frontiersin.org/articles/10.3389/fimmu.2019.00836/abstract>`_","Piergiorgio Percipalle"
"7","`NASQAR: A web-based platform for high-throughput sequencing data analysis and visualization <https://www.biorxiv.org/content/10.1101/709980v2.abstract>`_","Nizar Drou"
"8","`BioSAILs: versatile workflow management for high-throughput data analysis <https://www.biorxiv.org/content/10.1101/509455v1.abstract>`_","Nizar Drou"
"9","`Unconstrained peptoid tetramer exhibits a predominant conformation in aqueous solution <http://www.ronznet.com/RZ_paper_pdfs/Roe_Biopolymers_2019_asap.pdf>`_","Glenn L. Butterfoss"
"10","`Potential for Heightened Sulfur-Metabolic Capacity in Coastal Subtropical Microalgae <https://www.sciencedirect.com/science/article/pii/S2589004218302657>`_","David R. Nelson"
"11","`Establishment of atropisomerism in 3-indolyl furanoids: a synthetic, experimental and theoretical perspective <https://pubs.rsc.org/en/content/articlehtml/2019/ra/c9ra05350f>`_","Glenn L. Butterfoss"
"12","`Cooperative Intramolecular Hydrogen Bonding Strongly Enforces cis-Peptoid Folding <http://www.ronznet.com/RZ_paper_pdfs/Wijaya_JACS_2019.pdf>`_","Glenn L. Butterfoss"
