,Title,Authors/Co-Authors
1,`Ionic Covalent Organic Framework as a Dual Functional Sensor for Temperature and Humidity <https://onlinelibrary.wiley.com/doi/full/10.1002/smll.202311064>`_,Serdal Kirmizialtin
2,"`Unveiling the topology of partially disordered
micro-crystalline nitro-perylenediimide with
X-aggregate stacking: an integrated approach <https://pubs.rsc.org/en/content/articlepdf/2024/sc/d3sc05514k>`_",Brijith Thomas
3,`How Does MOF-303 Achieve High Water Uptake and Facile Release Capacity? <https://pubs.acs.org/doi/full/10.1021/acs.jpcc.4c00238>`_,Serdal Kirmizialtin
4,`Dynamic Nuclear Polarization Using Electron Spin Cluster <https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.4c00182>`_,Asif Equbal
5,`Dipolar Order Induced Electron Spin Hyperpolarization <https://pubs.acs.org/doi/full/10.1021/acs.jpclett.4c00294>`_,Asif Equbal
6,`Mechanism of Cationic Lipid Induced DNA Condensation: Lipid–DNA Coordination and Divalent Cation Charge Fluctuations <https://pubs.acs.org/doi/full/10.1021/acs.biomac.4c00192>`_,Serdal Kirmizialtin
7,"`Tailoring solid-state DNP methods to the study of 
-synuclein LLPS <https://www.sciencedirect.com/science/article/pii/S0301462224001327>`_",Asif Equbal
8,"`Role of Quantum Coherence in Chirped Dynamic Nuclear
Polarization <https://arxiv.org/pdf/2410.19170>`_",Asif Equbal
9,`ChemXTree: A Feature-Enhanced Graph Neural Network-Neural Decision Tree Framework for ADMET Prediction <https://pubs.acs.org/doi/full/10.1021/acs.jcim.4c01186>`_,Yuzhi Xu
10,`Overcoming Nuclear Spin Diffusion Barrier in DNP via Electron-Electron Flip-Flop <https://chemrxiv.org/engage/chemrxiv/article-details/66bbce81f3f4b05290c86e77>`_,Asif Equbal
11,`Electron diffraction and solid-state NMR reveal the structure and exciton coupling in a eumelanin precursor† <https://pubs.rsc.org/en/content/articlelanding/2024/sc/d4sc05453a>`_,Brijith Thomas
12,`Cationic covalent organic framework for the fluorescent sensing and cooperative adsorption of perfluorooctanoic acid  <https://www.nature.com/articles/s41467-024-53945-4>`_,Serdal Kirmizialtin
