,Title,Authors
1,`A DFT-based mechanistic study on the formation of oximes     <https://onlinelibrary.wiley.com/doi/full/10.1002/poc.3711>`_,Serdal Kirmizialtin
2,`Pushing to the low limits: tetraa zaanthracenes with very low-lying LUMO levels and near-infrared absorption <https://pubmed.ncbi.nlm.nih.gov/28861560/>`_,Panče Naumov
3,`Probing Structural Perturbation in a Bent Molecular Crystal with Synchrotron Infrared Microspectroscopy and Periodic Density Functional Theory Calculations <https://pubmed.ncbi.nlm.nih.gov/28075578/>`_,Panče Naumov
4,`Computational insight into the interaction of methylated lysine A with aromatic amino acid cages     <https://onlinelibrary.wiley.com/doi/abs/10.1002/poc.3660>`_,Ibrahim Yildiz
5,`A Chemicas Template for Synthesis of Molecular Sheets of Calcium Carbonate   <https://www.nature.com/articles/srep25393>`_,Serdal Kirmizialtin
6,`A DFT Approach to the Mechanistic Study of Hydrozone Hydrolysis      <https://pubs.acs.org/doi/10.1021/acs.jpca.6b02882>`_,Ibrahim Yildiz
7,"`Vibrational Spectra of Chemical and Isotopic Variants of Oxyluciferin, the Light Emitter of Firefly Bioluminescence  <https://pubmed.ncbi.nlm.nih.gov/24824970/>`_",Panče Naumov
8,`Colossal positive and negative thermal expansion and thermosalient effect in a pentamorphic organometallic martensite        <https://pubmed.ncbi.nlm.nih.gov/25185949/>`_,Panče Naumov
9,`Efficient Calculation of Free Energy Differers Associated with Isotopic Substitution Using Path-Integral Molecular Dynamics  <https://pubmed.ncbi.nlm.nih.gov/26580362/>`_,Mark E Teckerman
10,`Dynamic Void Distribution in Myoglobin and five Mutants <https://www.nature.com/articles/srep04011>`_,Serdal Kirmizialtin
11,`Integrating Molecular Dynamics Simulations with Chemical Probing Experiments Using SHAPE-FIT <https://www.sciencedirect.com/science/article/pii/S0076687914000627>`_,Serdal Kirmizialtin
12,`Using Molecular Simulation to Model High-Resolution Cryo-EM Reconstructions <https://www.sciencedirect.com/science/article/pii/S0076687915001846>`_,Serdal Kirmizialtin
13,`The In Vitro Selection World <https://www.sciencedirect.com/science/article/pii/S104620231630158X>`_,Serdal Kirmizialtin
14,`Nanoscale Biological Materials <https://downloads.hindawi.com/journals/jnm/2016/5403560.pdf>`_,Serdal Kirmizialtin
15,`A Chemical Template for Synthesis of Molecular Sheets of Calcium Carbonate <https://www.nature.com/articles/srep25393>`_,Serdal Kirmizialtin
16,`Tracking fluctuation hotspots on the yeast ribosome through the elongation cycle <https://academic.oup.com/nar/article/45/8/4958/3038234>`_,Serdal Kirmizialtin
17,"`Enzyme Selectivity of HIV Reverse Transcriptase: Conformations, Ligands, and Free Energy Partition <https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623308/>`_",Serdal Kirmizialtin
