,Title,Authors/Co-Authors
1,"`Neural Architecture Search and Automatic Code Optimization: Techniques,trends, and challenges <https://repository.cud.ac.ae/server/api/core/bitstreams/5a7a749c-dea6-463b-ab01-6b576ff05076/content>`_","Riyadh Baghdadi"
2,"`CHEHAB RL: Learning to Optimize Fully Homomorphic Encryption Computations <https://arxiv.org/pdf/2601.19367>`_","Riyadh Baghdadi"
3,"`CHEHAB: Automatic Compiler Code Optimization for Fully Homomorphic Encryption <https://dl.acm.org/doi/pdf/10.1145/3771775.3786269>`_","Riyadh Baghdadi"
4,"`MedAraBench: Large-Scale Arabic Medical Question Answering Dataset and Benchmark <https://arxiv.org/pdf/2602.01714>`_","Nizar Habash"
5,"`Cross-Lingual Empirical Evaluation of Large Language Models for Arabic Medical Tasks <https://arxiv.org/pdf/2602.05374>`_","Nizar Habash"
6,"`A Reinforcement Learning Environment for Automatic Code Optimization in the MLIR Compiler <https://ieeexplore.ieee.org/abstract/document/11394838>`_","Riyadh Baghdadi"
7,"`Do Diacritics Matter? Evaluating the Impact of Arabic Diacritics on Tokenization and LLM Benchmarks <https://aclanthology.org/2026.findings-eacl.22.pdf>`_","Nizar Habash"
8,"`Compositional Context Fine-Tuning Vision-Language Model for Complex Assembly Action Understanding from Videos <https://arxiv.org/pdf/2607.10797>`_","Tuka Alhanai"
9,"`VTaMo: Video-Text Alignment Model for Sign Language Translation <https://arxiv.org/pdf/2607.09126>`_","Yi Fang"
10,"`Exploring Explainability Methods in Language Models for Code: A Literature Review <http://researchgate.net/profile/Abdelaziz-Akeb/publication/409585231_Exploring_Explainability_Methods_in_Language_Models_for_Code_A_Literature_Review/links/6a569da81681584dea2f281c/Exploring-Explainability-Methods-in-Language-Models-for-Code-A-Literature-Review.pdf>`_","Riyadh Baghdadi"
11,"`Multi-Objective Reinforcement Learning for Automatic Code Optimization in Fully Homomorphic Encryption Compilers <https://www.researchgate.net/profile/Imed-Eddine-Mokrane/publication/408746053_Multi-Objective_Reinforcement_Learning_for_Automatic_Code_Optimization_in_Fully_Homomorphic_Encryption_Compilers/links/6a5122bfa066b6236f28f04f/Multi-Objective-Reinforcement-Learning-for-Automatic-Code-Optimization-in-Fully-Homomorphic-Encryption-Compilers.pdf>`_","Riyadh Baghdadi"
12,"`Large Language Models for Automatic Code Optimization in Fully Homomorphic Encryption Compilers <https://www.researchgate.net/profile/Lynda-Yazi/publication/408634832_Large_Language_Models_for_Automatic_Code_Optimization_in_Fully_Homomorphic_Encryption_Compilers/links/6a4f7ec2a066b6236f28a596/Large-Language-Models-for-Automatic-Code-Optimization-in-Fully-Homomorphic-Encryption-Compilers.pdf>`_","Riyadh Baghdadi"
