,"Title", "Authors"
"1","`Oxygen Minimum Zone Cd vasts Between the Arabian Sea and the Bay of Bengal Implied by Differences in Remineralization Depth  <https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017GL075157>`_","Zouhair Lachkar"
"2","`Extraction and prediction of indices for Monsoon intraseasonal oscillations: an approach based on nonlinear Laplacian spectral analysis     <https://link.springer.com/article/10.1007/s00382-016-3491-y>`_","R S Ajayamohan"
"3","`Modulation of Winter Précpitation Dynamics Over the Arabian Gulf by ENSO     <https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017JD027263>`_","R S Ajayamohan"
"4","`Regional simulation of Indian summer monsoon intraseasonal oscillations at gray-zone resolution      <https://acp.copernicus.org/articles/18/1003/2018/>`_","Xinghao Chen"
"5","`Atmospheric Overtuming across Multiple Scales of an MUO Event during the CINDY/DYNAMO Campaign       <https://www.researchgate.net/publication/321205247_Atmospheric_overturning_across_multiple_scales_of_an_MJO_event_during_the_CINDYDYNAMO_campaign>`_","Xingchao Chen"
"6","`Indo-Pacific variability on seasonal to multidecadal timescale. Part II: Multiscale atmosphere-ocean linkages        <https://journals.ametsoc.org/view/journals/clim/30/14/jcli-d-16-0176.1.xml>`_","Joanna Slawinska"
"7","`Eddies reduce denitrifican and compress habitats in the Arabian Sea  <https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GL069876>`_","Zouhair Lachkar"
"8","`Muliscale Interactions in an Idealised Walker Cell: Analysis with Isentropic Streamfunctions <https://journals.ametsoc.org/view/journals/atsc/73/3/jas-d-15-0070.1.xml?tab_body=fulltext-display>`_","Joanna Slawinska"
"9","`Multiscale Interactions in an Idealized Walker Cell: Simulations with Sparse Space-Time Superparameteriation <https://opensky.ucar.edu/islandora/object/articles%3A16507>`_","Joanna Slawinska"
"10","`Intensification of upwelling along Oman coast in a warming scenario  <https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2016GL069638>`_","R S Ajayamohan"
"11","`The MJO in a  Coarse Resolution GCM with a Stochastic Multicloud Parameterization    <https://journals.ametsoc.org/view/journals/atsc/72/1/jas-d-14-0120.1.xml>`_","Qiang Deng"
"12","`Role of stratiform heating on the organization of convection over the monsoon trough <https://link.springer.com/article/10.1007/s00382-016-3033-7>`_","R S Ajayamohan"
"13","`On the Relationship between Mean Monsoon Precipitation and Low Pressure Systems in Climate Model Simulations <https://journals.ametsoc.org/view/journals/clim/28/13/jcli-d-14-00415.1.xml>`_","R S Ajayamohan"
"14","`Spatiotemporal Feature Extraction with Data-Driven Koopman Operators <https://proceedings.mlr.press/v44/giannakis15.html>`_","Dimitrios Giannakis"
"15","`Effect of Stratiform Heating on the Planetary-Scale Organization of Tropical Convection      <https://journals.ametsoc.org/view/journals/atsc/73/1/jas-d-15-0178.1.xml>`_","Qiang Deng"
"16","`Indo-Pacific variability on seasonal to multidecadal timescales. Part I: Intrinsic SST modes in models and observations       <https://journals.ametsoc.org/view/journals/clim/30/14/jcli-d-16-0176.1.xml>`_","Joanna Slawinska"
"17","`Origin of cold bid over the Arabian Sea in Climate Models    <https://pubmed.ncbi.nlm.nih.gov/25228235/>`_","R S Ajayamohan"
"18","`Realistic initiation and dynamics of the Madden-Julian Oscillation in a coarse resolution aquaplanet GCM     <https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013GL058187>`_","R S Ajayamohan"
"19","`Poleward shift in Indian summer monsoon low level jetstream under global warming     <https://link.springer.com/article/10.1007/s00382-014-2261-y>`_","R S Ajayamohan"
"20","`Simulation of monsoon intraseasonal oscillations in a coarse-resolution aquaplanet GCM       <https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2014GL060662>`_","R S Ajayamohan"
