,Title,Authors/Co-Authors
1,`Structural modeling of the SARS-CoV-2 Spike/human ACE2 complex interface can identify high-affinity variants associated with increased transmissibility <https://doi.org/10.1101/2021.03.22.436454>`_,Benoit Marchand
2,"`A tenuous, collisional atmosphere on Callisto <https://doi.org/10.1016/j.icarus.2021.114597>`_",Benoit Marchand
3,`DES-Amyloidoses “Amyloidoses through the looking-glass”: A knowledgebase developed for exploring and linking information related to human amyloid-related diseases <https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0271737>`_,Benoit Marchand
4,`Callisto's atmosphere: First evidence for H2 and constraints on H2O <https://ui.adsabs.harvard.edu/abs/2022arXiv221014511C/abstract>`_,Benoit Marchand
5,"`Computational modeling of the defect structure, hyperfine and magnetic properties of the Mn2+-doped magnetite of the composition MnxFe3-yO4 (y = ⅔ x)  <https://www.sciencedirect.com/science/article/pii/S0025540822003646#!>`_",Muataz Al Barwani
6,`Callisto’s atmosphere: First evidence for H2 and constraints on H2O <https://arxiv.org/pdf/2210.14511.pdf>`_,Benoit Marchand
7,Predicting the New from the Old: Transfer Learning for Rising Chinese Artists from the Established Global Artists,Karunakar Reddy Mannem
8,`Transfer-Learning and Texture Features for Recognition of the Conditions of Construction Materials with Small Data Sets <https://ascelibrary.org/doi/10.1061/JCCEE5.CPENG-5478>`_,Karunakar Reddy Mannem
9,`Hidden in plain sight? Irregularities on statutory forms and electoral fraud <https://www.sciencedirect.com/science/article/pii/S0261379421001244?via%3Dihub>`_,Karunakar Reddy Mannem
10,`Integrating BIM and Multiple Construction Monitoring Technologies for Acquisition of Project Status Information <https://ascelibrary.org/doi/10.1061/JCEMD4.COENG-12826>`_,Karunakar Reddy Mannem
11,`Smart audio signal classification for tracking of construction tasks <https://www.sciencedirect.com/science/article/pii/S0926580524002218>`_,Karunakar Reddy Mannem
12,`Overcoming Nuclear Spin Diffusion Barrier in DNP via Electron-Electron Flip-Flop <https://chemrxiv.org/engage/chemrxiv/article-details/66bbce81f3f4b05290c86e77>`_,Waqqas Zia
13,`Callisto's Atmosphere: First Evidence for H2 and Constraints on H2O <https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2022JE007294>`_,Benoit Marchand
