,Title,Authors/Co-Authors
1,`I-FENN with Temporal Convolutional Networks: expediting the load-history analysis of non- local gradient damage propagation <https://arxiv.org/pdf/2402.05460.pdf>`_,Mostafa E. Mobasher
2,`A High-Speed Compact Polarization Controller in Silicon Photonics <https://opg.optica.org/abstract.cfm?uri=OFC-2024-M1J.8>`_,Mahmoud Rasras
3,`An LSTM Feature Imitation Network for Hand Movement Recognition from sEMG Signals <https://arxiv.org/pdf/2405.19356>`_,Tuka Alhanai
4,`DEEPOKAN: DEEP OPERATOR NETWORK BASED ON KOLMOGOROV ARNOLD NETWORKS FOR MECHANICS PROBLEMS <https://arxiv.org/pdf/2405.19143>`_,Mostafa E. Mobasher
5,"`Analysis of Bessel Beam Generation Using
MetaMaterials in Photonic Integrated Circuits <https://arxiv.org/pdf/2406.05751>`_",Mahmoud Rasras
6,"`Physiochemical View of Fuel Jet Impingement and Ignition Upon Contact with a Cylindrical Hot Surface  <https://www.sciencedirect.com/science/article/pii/S0010218024004930#:~:text=Fuel%2Djet%20ignition%20upon%20contact,non%2Dmonotonic%20ignition%20enhancement%20performance.>`_",Sayop Kim
7,`A Photonics-Based Bessel Beam Launcher with an Air-Filled Core and Cylindrical Bragg Gratings in the Cladding  <https://preprints.opticaopen.org/articles/preprint/A_Photonics-Based_Bessel_Beam_Launcher_with_an_Air-Filled_Core_and_Cylindrical_Bragg_Gratings_in_the_Cladding/27188589?file=49672008>`_,Mahmoud Rasras
8,`Deep Vision-Based Framework for Coastal Flood Prediction Under Climate Change Impacts and Shoreline Adaptations <https://arxiv.org/abs/2406.15451>`_,Areg Karapetyan
9,"`Multi-Functional RIS for a Multi-Functional System: Integrating Sensing, Communication, and Wireless Power Transfer  <https://ieeexplore.ieee.org/document/10720877>`_",Marwa Chafii
10,"`The Kresling origami spring: a review
and assessment  <https://iopscience.iop.org/article/10.1088/1361-665X/ad2f6f>`_",Mohammed Daqaq
11,`Thermomechanical performance of double-phase periodic and graded architected materials: Numerical and explainability analysis  <https://www.sciencedirect.com/science/article/pii/S0020768324005183>`_,Nikolaos Karathanasopoulos
12,`Thermally and mechanically induced strain gradient fields in architected 2D materials and beam structures  <https://www.sciencedirect.com/science/article/pii/S0020768323005000>`_,Nikolaos Karathanasopoulos
