,Title,Authors/Co-Authors
1,`Beamforming Design for Secure RIS-Enabled ISAC: Passive RIS vs. Active RIS <https://arxiv.org/pdf/2501.19157>`_,Marwa Chafii
2,`MIND: Modality-Informed Knowledge Distillation Framework for Multimodal Clinical Prediction Tasks <https://arxiv.org/pdf/2502.01158>`_,Farah Shamout
3,`Photonics-based Bessel beam launcher with an air-filled core and cylindrical Bragg gratings in the cladding <https://opg.optica.org/josab/fulltext.cfm?uri=josab-42-3-470>`_,Mahmoud Rasras
4,`Integrating Machine Learning for Cyber Risk Analysis in Construction 4.0 <https://link.springer.com/content/pdf/10.1007/978-3-031-87364-5_7>`_,Borja García de Soto
5,`Multimodal Deep Learning for Stroke Prediction and Detection using Retinal Imaging and Clinical Data <https://arxiv.org/pdf/2505.02677>`_,Farah E. Shamout
6,`Physics-informed Multiple-Input Operators for efficient dynamic response prediction of structures <https://arxiv.org/pdf/2505.07090>`_,Mostafa E. Mobasher
7,`MetaCipher: A General and Extensible Reinforcement Learning Framework for Obfuscation-Based Jailbreak Attacks on Black-Box LLMs <https://arxiv.org/pdf/2506.22557>`_,Mostafa E. Mobasher
8,`Variational PINNs with tree-based integration and boundary element data in the modeling of multi-phase architected materials <https://arxiv.org/pdf/2506.23357>`_,Nikolaos Karathanasopoulos
9,`MedMod: Multimodal Benchmark for Medical Prediction Tasks with Electronic Health Records and Chest X-Ray Scans <https://proceedings.mlr.press/v287/elsharief25a.html>`_,Farah E. Shamout
10,`PennyCoder: Efficient Domain-Specific LLMs for PennyLane-Based Quantum Code Generation <https://www.arxiv.org/abs/2507.19562>`_,Muhammad Shafique
