,"Title", "Authors"
"1","`Introducing galactic structure finder: the multiple stellar kinematic structures of a simulated Milky Way mass galaxy <https://academic.oup.com/mnras/article-abstract/477/4/4915/4980942>`_","Andrea V Macciò"
"2","`Inspiraling halo accretion mapped in Ly α emission around a z ∼ 3 quasar <https://academic.oup.com/mnras/article-abstract/473/3/3907/4222625>`_","Andrea V Macciò"
"3","`Predicted microlensing events by nearby very-low-mass objects: Pan-STARRS DR1 vs. Gaia DR2 <https://arxiv.org/abs/1811.03421>`_","M B Nielsen"
"4","`An almanac of predicted microlensing events for the 21st century <https://arxiv.org/abs/1806.10003>`_","M B Nielsen"
"5","`Exocomets in the Proxima Centauri system and their importance for water transport <https://academic.oup.com/mnras/article-abstract/480/3/3595/5064248>`_","Nikolaos Georgakarakos"
"6","`NIHAO–XIV. Reproducing the observed diversity of dwarf galaxy rotation curve shapes in ΛCDM <https://academic.oup.com/mnras/article-abstract/473/4/4392/4494372>`_","Andrea V Macciò"
"7","`Is the dark-matter halo spin a predictor of galaxy spin and size? <https://pdfs.semanticscholar.org/d0b9/77f386a087a7b92ee562997489333c4ced6a.pdf>`_","Andrea V Macciò"
"8","`Dynamic Equilibrium Sets of the Atomic Content of Galaxies across Cosmic Time <https://iopscience.iop.org/article/10.3847/1538-4357/aae8de/meta>`_","Andrea V Macciò"
"9","`Mechanisms underlying contrast-dependent orientation selectivity in mouse V1 <https://www.pnas.org/content/115/45/11619.short>`_","David Cai"
"10","`Stars Behind Bars. I. The Milky Way's Central Stellar Populations <https://iopscience.iop.org/article/10.3847/1538-4357/aac890/meta>`_","Andrea V Macciò"
