,Title,Authors
1,`The edge of galaxy formation II: evolution of Milky Way satellite analogues after infall     <https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3378F/abstract>`_,Andrea V Macciò
2,`Binary star influence on post-main-sequence multi-planet stability   <https://arxiv.org/abs/1610.05307>`_,Nikolaos Georgakarakos
3,`Quenching versus quiescence: forming realistic massive ellipticals with a simple starvation model    <https://arxiv.org/abs/1701.01130>`_,Andrea V Macciò
4,`Dynamic mineral clouds on HD 189733b II. Monte Carlo radiative transfer for 3D cloudy exoplanet atmospheres: combining scattering and emission spectra      <https://www.aanda.org/articles/aa/full_html/2017/05/aa29804-16/aa29804-16.html>`_,Ian Dobbs Dixon
5,`A search for extragalactic pulsars in the Local Group galaxies IC 10 and Barnard's Galaxy    <https://arxiv.org/abs/1702.08214>`_,Hind Al Noori
6,`NIHAO - XI. Formation of ultra-diffuse galaxies by outflows  <https://arxiv.org/abs/1608.01327>`_,Andrea V Macciò
7,`Characteristic signatures in the thermal emission from accreting binary black holes  <https://academic.oup.com/mnrasl/article/446/1/L36/1052367>`_,Brian D. Farris
8,`Binary black hole accretion during inspiral and merger       <https://arxiv.org/abs/1409.5124>`_,Brian D. Farris
9,"`Dynamic mineral clouds on HD 189733b I. 3D RHD with kinetic, non-equilibrium cloud formation <https://www.aanda.org/articles/aa/full_html/2016/10/aa28606-16/aa28606-16.html>`_",Ian Dobbs Dixon
10,`NIHAO X: reconciling the local galaxy velocity function with cold dark matter via mock Hi observations       <https://arxiv.org/abs/1607.01028>`_,Andrea V Macciò
11,"`Origin of the ankle in the ultrahigh energy cosmic ray spectrum, and of the extragalactic protons below it   <https://arxiv.org/abs/1505.02153>`_",Michael Unger
